Category,Sub,jan 23,feb 23,mar 23,apr 23,may 23,jun 23,jul 23,aug 23,sept 23,oct 23,nov 23,dec 23
Apartment,Rent,3768.0,3768.0,3768.0,3768.0,3768.0,3768.0,3951.2,3951.2,4017.0,3945.25,3981.0,3956.0
Apartment,Utility,77.61,45.29,73.0,56.0,75.3,278.0,43.76,95.85,131.0,110.87,57.81,62.0
Apartment,Internet,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Food,Groceries,130.0,190.0,229.0,204.5,209.25,78.0,331.0,223.78,95.0,249.67,188.0,100.16
Food,Social food/drinks,744.0,608.67,1260.31,730.78,895.81,1003.74,1211.0,1398.78,1162.0,541.33,461.4,1184.3
Transportation,Transit,12.0,10.0,0.0,11.0,16.88,34.4,23.9,24.75,37.81,47.87,0.0,0.0
Transportation,Uber/driving,0.0,313.55,0.0,58.74,109.43,87.0,92.51,277.71,210.56,456.75,12.0,84.0
Transportation,Travel,363.41,751.8,1919.74,204.0,10.0,1427.67,506.04,1089.56,276.0,879.83,896.5,261.0
Entertainment/other,,180.0,0.0,1005.52,718.0,898.0,483.24,1624.51,432.56,837.86,1087.82,447.0,4.0
Shopping,Other,286.16,0.0,314.17,111.0,369.15,153.2,560.25,0.0,560.8,204.0,963.0,284.72
Shopping,Clothing ,46.66,174.58,226.05,212.42,258.72,33.0,453.55,292.41,453.0,0.0,229.0,286.37
Health,Medication,0.0,0.0,0.0,13.0,86.0,183.43,0.0,0.0,0.0,0.0,21.0,36.2
Health,Exercise,0.0,121.45,0.0,0.0,0.0,75.0,0.0,75.0,0.0,56.16,1069.0,183.0
Health,Medical,0.0,0.0,0.0,263.0,276.0,196.48,517.23,32.38,517.23,52.05,0.0,0.0
Food,Necessary meals,98.0,261.0,155.0,224.0,267.53,143.0,320.0,226.44,306.0,288.0,245.0,164.16
Subscriptions donations etc,,2.0,32.0,69.12,2.0,12.5,12.0,12.0,12.0,12.0,107.0,22.0,14.15
Health,Haircut etc,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,64.34,0.0,16.5
